Filename	Platform	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	Per base sequence quality	Sequence Duplication Levels	Total Deduplicated Percentage	Overrepresented sequences	Adapter Content
E100010924_L01_82_2.fq.gz	BGI	59182644	0	150	49	pass	pass	82.0	pass	pass
E100009772A_L01_103_2.fq.gz	BGI	47703090	0	150	45	pass	warn	69.0	pass	pass
E100009678_L01_1_2.fq.gz	BGI	81020484	0	150	45	pass	warn	53.0	pass	pass
E100013104_L01_37_2.fq.gz	BGI	36955413	0	150	43	pass	pass	83.0	pass	pass
E100007551_L01_81_2.fq.gz	BGI	37442042	0	150	45	pass	pass	89.0	pass	pass
E100015864_L01_100_2.fq.gz	BGI	47907063	0	150	47	pass	pass	81.0	pass	pass
E100010953_L01_66_2.fq.gz	BGI	43288872	0	150	45	pass	pass	74.0	pass	pass
E100013124_L01_58_2.fq.gz	BGI	31993144	0	150	43	pass	warn	55.0	pass	pass
E100013465_L01_60_2.fq.gz	BGI	30746403	0	150	43	pass	pass	83.0	pass	pass
E100010953_L01_75_2.fq.gz	BGI	30832915	0	150	44	pass	pass	93.0	pass	pass
E100013189_L01_122_2.fq.gz	BGI	35082306	0	150	45	pass	pass	81.0	pass	pass
E100013189_L01_126_2.fq.gz	BGI	110745722	0	150	47	pass	pass	76.0	pass	pass
E100016707_L01_96_2.fq.gz	BGI	65887102	0	150	46	pass	warn	66.0	pass	pass
E100016770_L01_101_2.fq.gz	BGI	40794090	0	150	46	pass	pass	83.0	pass	pass
E100009678_L01_64_2.fq.gz	BGI	49867671	0	150	47	pass	pass	85.0	pass	pass
E100013135_L01_4_2.fq.gz	BGI	71798910	0	150	48	pass	pass	75.0	pass	pass
E100013458_L01_125_2.fq.gz	BGI	51794649	0	150	51	pass	pass	78.0	pass	pass
E100013135_L01_102_2.fq.gz	BGI	94682426	0	150	47	pass	pass	80.0	pass	pass
E100009772A_L01_14_2.fq.gz	BGI	50027757	0	150	46	pass	pass	83.0	pass	pass
E100009678_L01_29_2.fq.gz	BGI	41657523	0	150	44	pass	pass	87.0	pass	pass
E100009678_L01_62_2.fq.gz	BGI	58946134	0	150	47	pass	pass	77.0	pass	pass
E100013421_L01_126_2.fq.gz	BGI	67759816	0	150	45	pass	pass	85.0	pass	pass
E100016770_L01_46_2.fq.gz	BGI	57445817	0	150	48	pass	pass	79.0	pass	pass
E100009678_L01_35_2.fq.gz	BGI	69129229	0	150	46	pass	warn	65.0	pass	pass
E100013128_L01_117_2.fq.gz	BGI	73603395	0	150	46	pass	pass	89.0	pass	pass
E100016768_L01_77_2.fq.gz	BGI	42958686	0	150	46	pass	pass	83.0	pass	pass
E100013118_L01_82_2.fq.gz	BGI	52542534	0	150	43	pass	pass	81.0	pass	pass
E100013458_L01_90_2.fq.gz	BGI	59214294	0	150	48	pass	pass	81.0	pass	pass
E100010235_L01_75_2.fq.gz	BGI	85210637	0	150	45	pass	warn	53.0	pass	pass
E100016770_L01_79_2.fq.gz	BGI	53935877	0	150	45	pass	warn	68.0	pass	pass
E100013106_L01_50_2.fq.gz	BGI	45457897	0	150	41	pass	pass	78.0	pass	pass
E100009887_L01_28_2.fq.gz	BGI	43387779	0	150	48	pass	pass	83.0	pass	pass
E100007551_L01_14_2.fq.gz	BGI	35061562	0	150	44	pass	pass	82.0	pass	pass
E100009678_L01_75_2.fq.gz	BGI	53974255	0	150	48	pass	pass	85.0	pass	pass
E100013123_L01_76_2.fq.gz	BGI	28112697	0	150	43	pass	pass	81.0	pass	pass
E100009772A_L01_95_2.fq.gz	BGI	52144231	0	150	47	pass	pass	86.0	pass	pass
E100009727_L01_15_2.fq.gz	BGI	33866299	0	150	45	pass	pass	87.0	pass	pass
E100013128_L01_55_2.fq.gz	BGI	20758206	0	150	42	pass	pass	89.0	pass	pass
E100012874_L01_68_2.fq.gz	BGI	69139178	0	150	45	pass	warn	55.0	pass	pass
E100013465_L01_123_2.fq.gz	BGI	37498262	0	150	40	pass	pass	75.0	pass	pass
E100009887_L01_29_2.fq.gz	BGI	115052017	0	150	45	pass	warn	62.0	pass	pass
E100007551_L01_79_2.fq.gz	BGI	51531400	0	150	44	pass	pass	84.0	pass	pass
E100010953_L01_55_2.fq.gz	BGI	39191019	0	150	45	pass	pass	84.0	pass	pass
E100013465_L01_28_2.fq.gz	BGI	40953456	0	150	44	pass	pass	79.0	pass	pass
E100013189_L01_93_2.fq.gz	BGI	52326420	0	150	46	pass	pass	81.0	pass	pass
E100009727_L01_86_2.fq.gz	BGI	39238501	0	150	43	pass	pass	77.0	pass	pass
E100010235_L01_62_2.fq.gz	BGI	68713150	0	150	46	pass	warn	60.0	pass	pass
E100009678_L01_41_2.fq.gz	BGI	74322358	0	150	44	pass	pass	72.0	pass	pass
E100013104_L01_79_2.fq.gz	BGI	38927316	0	150	44	pass	pass	86.0	pass	pass
E100013106_L01_124_2.fq.gz	BGI	51216479	0	150	43	pass	warn	62.0	pass	pass
E100016707_L01_41_2.fq.gz	BGI	62366713	0	150	48	pass	pass	89.0	pass	pass
E100013123_L01_102_2.fq.gz	BGI	43649305	0	150	45	pass	pass	73.0	pass	pass
E100009727_L01_83_2.fq.gz	BGI	35082662	0	150	44	pass	pass	89.0	pass	pass
E100013117_L01_25_2.fq.gz	BGI	50953741	0	150	44	pass	pass	70.0	pass	pass
E100013128_L01_49_2.fq.gz	BGI	21054803	0	150	42	pass	pass	73.0	pass	pass
E100013108_L01_80_2.fq.gz	BGI	62610582	0	150	43	pass	warn	62.0	pass	pass
E100016707_L01_15_2.fq.gz	BGI	52713081	0	150	46	pass	pass	86.0	pass	pass
E100007551_L01_57_2.fq.gz	BGI	48642710	0	150	45	pass	pass	76.0	pass	pass
E100009678_L01_2_2.fq.gz	BGI	68602915	0	150	46	pass	pass	73.0	pass	pass
E100013465_L01_79_2.fq.gz	BGI	101204949	0	150	47	pass	pass	81.0	pass	pass
E100010953_L01_77_2.fq.gz	BGI	59915969	0	150	45	pass	pass	85.0	pass	pass
E100013458_L01_59_2.fq.gz	BGI	47416708	0	150	44	pass	pass	84.0	pass	pass
E100013123_L01_89_2.fq.gz	BGI	20474159	0	150	42	pass	pass	76.0	pass	pass
E100009727_L01_13_2.fq.gz	BGI	109976877	0	150	45	pass	pass	78.0	pass	pass
E100013128_L01_81_2.fq.gz	BGI	22865238	0	150	41	pass	pass	85.0	pass	pass
E100013124_L01_96_2.fq.gz	BGI	35462277	0	150	43	pass	pass	75.0	pass	pass
E100012874_L01_65_2.fq.gz	BGI	53485187	0	150	45	pass	warn	61.0	pass	pass
E100009772A_L01_15_2.fq.gz	BGI	49968680	0	150	47	pass	pass	84.0	pass	pass
E100016768_L01_63_2.fq.gz	BGI	46574143	0	150	44	pass	pass	83.0	pass	pass
E100013100_L01_63_2.fq.gz	BGI	55270682	0	150	46	pass	pass	83.0	pass	pass
E100010924_L01_89_2.fq.gz	BGI	51497976	0	150	45	pass	pass	74.0	pass	pass
E100013123_L01_60_2.fq.gz	BGI	23277732	0	150	43	pass	pass	78.0	pass	pass
E100016707_L01_58_2.fq.gz	BGI	67289252	0	150	45	pass	pass	83.0	pass	pass
E100013458_L01_16_2.fq.gz	BGI	36355512	0	150	47	pass	pass	82.0	pass	pass
E100013135_L01_47_2.fq.gz	BGI	52130351	0	150	50	pass	pass	70.0	pass	pass
E100010953_L01_74_2.fq.gz	BGI	66123185	0	150	43	pass	pass	82.0	pass	pass
E100009727_L01_78_2.fq.gz	BGI	27158986	0	150	44	pass	pass	83.0	pass	pass
E100010235_L01_53_2.fq.gz	BGI	63489033	0	150	44	pass	pass	74.0	pass	pass
E100016768_L01_70_2.fq.gz	BGI	32519794	0	150	44	pass	pass	90.0	pass	pass
E100013465_L01_53_2.fq.gz	BGI	67994464	0	150	46	pass	pass	83.0	pass	pass
E100016768_L01_69_2.fq.gz	BGI	36314023	0	150	43	pass	pass	77.0	pass	pass
E100016707_L01_89_2.fq.gz	BGI	67517913	0	150	47	pass	pass	80.0	pass	pass
E100009887_L01_73_2.fq.gz	BGI	84324152	0	150	45	pass	warn	65.0	pass	pass
E100013189_L01_15_2.fq.gz	BGI	72108949	0	150	46	pass	pass	72.0	pass	pass
E100013123_L01_13_2.fq.gz	BGI	30493225	0	150	42	pass	warn	67.0	pass	pass
E100013117_L01_97_2.fq.gz	BGI	47362133	0	150	46	pass	pass	74.0	pass	pass
E100010924_L01_95_2.fq.gz	BGI	66967783	0	150	45	pass	pass	78.0	pass	pass
E100010235_L01_60_2.fq.gz	BGI	59435694	0	150	46	pass	pass	73.0	pass	pass
E100013124_L01_78_2.fq.gz	BGI	33671235	0	150	43	pass	pass	93.0	pass	pass
E100013458_L01_58_2.fq.gz	BGI	58560261	0	150	44	pass	pass	75.0	pass	pass
E100016768_L01_121_2.fq.gz	BGI	45903487	0	150	44	pass	pass	84.0	pass	pass
E100009727_L01_48_2.fq.gz	BGI	54513247	0	150	44	pass	warn	55.0	pass	pass
E100009727_L01_80_2.fq.gz	BGI	47792161	0	150	44	pass	pass	79.0	pass	pass
E100013108_L01_62_2.fq.gz	BGI	41128839	0	150	44	pass	pass	70.0	pass	pass
E100010924_L01_33_2.fq.gz	BGI	64883659	0	150	44	pass	pass	71.0	pass	pass
E100015864_L01_93_2.fq.gz	BGI	49347762	0	150	44	pass	pass	83.0	pass	pass
E100013108_L01_41_2.fq.gz	BGI	40815686	0	150	46	pass	pass	84.0	pass	pass
E100013118_L01_87_2.fq.gz	BGI	36216666	0	150	45	pass	pass	92.0	pass	pass
E100015864_L01_45_2.fq.gz	BGI	47248822	0	150	46	pass	pass	88.0	pass	pass
E100010924_L01_68_2.fq.gz	BGI	73428321	0	150	47	pass	pass	81.0	pass	pass
E100013104_L01_91_2.fq.gz	BGI	106210607	0	150	44	pass	warn	57.0	pass	pass
E100016770_L01_38_2.fq.gz	BGI	53436334	0	150	44	pass	pass	81.0	pass	pass
E100015864_L01_97_2.fq.gz	BGI	67771952	0	150	46	pass	pass	78.0	pass	pass
E100009887_L01_95_2.fq.gz	BGI	53921310	0	150	46	pass	pass	74.0	pass	pass
E100013123_L01_97_2.fq.gz	BGI	25464679	0	150	43	pass	pass	81.0	pass	pass
E100013189_L01_94_2.fq.gz	BGI	57998765	0	150	50	pass	pass	74.0	pass	pass
E100013118_L01_97_2.fq.gz	BGI	75726414	0	150	46	pass	pass	84.0	pass	pass
E100015864_L01_99_2.fq.gz	BGI	89370043	0	150	46	pass	warn	65.0	pass	pass
E100013458_L01_86_2.fq.gz	BGI	60492270	0	150	44	pass	pass	81.0	pass	pass
E100013106_L01_13_2.fq.gz	BGI	65225512	0	150	43	pass	pass	79.0	pass	pass
E100013123_L01_36_2.fq.gz	BGI	19268517	0	150	43	pass	pass	77.0	pass	pass
E100013118_L01_13_2.fq.gz	BGI	51386448	0	150	45	pass	pass	91.0	pass	pass
E100009727_L01_45_2.fq.gz	BGI	89273145	0	150	46	pass	warn	56.0	pass	pass
E100013465_L01_37_2.fq.gz	BGI	53319050	0	150	46	pass	pass	82.0	pass	pass
E100013458_L01_104_2.fq.gz	BGI	54085005	0	150	45	pass	warn	68.0	pass	pass
E100013458_L01_100_2.fq.gz	BGI	73485430	0	150	43	pass	pass	78.0	pass	pass
E100013118_L01_3_2.fq.gz	BGI	35033825	0	150	45	pass	pass	94.0	pass	pass
E100013117_L01_3_2.fq.gz	BGI	50578125	0	150	42	pass	pass	77.0	pass	pass
E100016770_L01_121_2.fq.gz	BGI	62579160	0	150	47	pass	pass	79.0	pass	pass
E100013118_L01_49_2.fq.gz	BGI	43982278	0	150	42	pass	pass	91.0	pass	pass
E100013123_L01_50_2.fq.gz	BGI	21408337	0	150	43	pass	pass	82.0	pass	pass
E100009678_L01_48_2.fq.gz	BGI	66710414	0	150	43	pass	pass	72.0	pass	pass
