Filename	Platform	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	Per base sequence quality	Sequence Duplication Levels	Total Deduplicated Percentage	Overrepresented sequences	Adapter Content
VE0RG7	Illumina	14898149	0	150	47	pass	pass	81.0	pass	pass
V5F9JY	Illumina	14091872	0	150	47	pass	pass	79.0	pass	pass
V8IZTN	Illumina	13689651	0	150	46	pass	pass	75.0	pass	pass
VHR2QB	Illumina	15403791	0	150	46	pass	pass	77.0	pass	pass
VH66Q6	Illumina	17696502	0	150	46	pass	pass	79.0	pass	pass
V0404P	Illumina	16445635	0	150	45	pass	pass	75.0	pass	pass
VDA1O5	Illumina	14749017	0	150	45	pass	pass	74.0	pass	pass
VFSPEO	Illumina	16149762	0	150	43	pass	pass	79.0	pass	pass
VC0JXP	Illumina	15678094	0	150	47	pass	pass	78.0	pass	pass
VC1QEE	Illumina	16318363	0	150	43	pass	pass	81.0	pass	pass
VLW4N4	Illumina	19286406	0	150	46	pass	pass	77.0	pass	pass
VC1TRL	Illumina	15914650	0	150	45	pass	pass	75.0	pass	pass
VKLE3A	Illumina	13298075	0	150	45	pass	pass	77.0	pass	pass
VFJPCF	Illumina	15434401	0	150	45	pass	pass	81.0	pass	pass
VBV26Y	Illumina	14160709	0	150	46	pass	pass	76.0	pass	pass
VKHT3H	Illumina	16006383	0	150	46	pass	pass	80.0	pass	pass
V5V7M1	Illumina	13248458	0	150	44	pass	pass	79.0	pass	pass
VG8Z98	Illumina	15481063	0	150	46	pass	pass	71.0	pass	pass
VYHHE1	Illumina	16023911	0	150	44	pass	pass	83.0	pass	pass
VBTQSZ	Illumina	16468638	0	150	47	pass	pass	79.0	pass	pass
V3V4R5	Illumina	17974936	0	150	45	pass	warn	64.0	pass	pass
V9072B	Illumina	13416065	0	150	46	pass	pass	83.0	pass	pass
V46GGV	Illumina	15686131	0	150	45	pass	pass	79.0	pass	pass
VDJAJ1	Illumina	13946518	0	150	48	pass	pass	76.0	pass	pass
VNS89H	Illumina	17739104	0	150	46	pass	pass	77.0	pass	pass
VMWY6J	Illumina	19554578	0	150	47	pass	pass	71.0	pass	pass
VHH21X	Illumina	16897843	0	150	46	pass	pass	71.0	pass	pass
VYWBYK	Illumina	15966308	0	150	45	pass	pass	81.0	pass	pass
VRKHLF	Illumina	14236704	0	150	43	pass	pass	78.0	pass	pass
VK5EDT	Illumina	14877195	0	150	46	pass	pass	77.0	pass	pass
VYMT00	Illumina	14533163	0	150	46	pass	pass	78.0	pass	pass
VHGBTK	Illumina	14218194	0	150	45	pass	pass	78.0	pass	pass
VFRA8A	Illumina	15655390	0	150	47	pass	pass	80.0	pass	pass
V5RCKV	Illumina	14261823	0	150	46	pass	pass	76.0	pass	pass
VOMLT7	Illumina	17589479	0	150	48	pass	pass	85.0	pass	pass
VTQNH8	Illumina	16288391	0	150	46	pass	pass	77.0	pass	pass
V0ETQ8	Illumina	16918620	0	150	45	pass	pass	74.0	pass	pass
VGHLVX	Illumina	13672390	0	150	45	pass	pass	70.0	pass	pass
V1FI7F	Illumina	15362366	0	150	44	pass	pass	74.0	pass	pass
VS3EWV	Illumina	17742898	0	150	50	pass	pass	71.0	pass	pass
V9V7VJ	Illumina	14907119	0	150	44	pass	pass	81.0	pass	pass
