bgi	shared	ill	sample	sample_no
0.04668838219326819	0.9229098805646037	0.03040173724212812	V2A14B	1.0
0.04380883417813179	0.9167270094134685	0.03946415640839971	VYCU1M	2.0
0.0499001996007984	0.9156686626746507	0.0344311377245509	VGU4S7	3.0
0.051925320886814466	0.9121936989498249	0.03588098016336056	VHEUF9	4.0
0.03851321092700403	0.9113300492610837	0.050156739811912224	VFKVQQ	5.0
0.0520299566417028	0.9085534095388254	0.039416633819471816	VPXQ5M	6.0
0.04343182627269491	0.9085083659665362	0.04805980776076896	VMWY6J	7.0
0.05514096185737977	0.9083747927031509	0.03648424543946932	VWWX1X	8.0
0.04716507777220271	0.9081786251881585	0.044656297039638734	VN5HVM	9.0
0.03932584269662921	0.907951598962835	0.052722558340535866	V6RL47	10.0
0.037475976937860346	0.9077514413837284	0.05477258167841127	VBE2IN	11.0
0.05531385954008701	0.906152889993785	0.03853325046612803	VX4EUO	12.0
0.033662019721183274	0.9058143488609317	0.060523631417885075	VSCAXD	13.0
0.05566002256487401	0.905603610379842	0.03873636705528394	VPI3HC	14.0
0.058693244739756366	0.9053156146179402	0.03599114064230343	VOE87W	15.0
0.0462386200287494	0.9048873981792046	0.048873981792046	VNV45D	16.0
0.04959862385321101	0.9048165137614679	0.0455848623853211	V7IKOL	17.0
0.05178935117835322	0.9045679371544952	0.043642711667151585	VJ9PB6	18.0
0.0527411519777932	0.9038861901457321	0.04337265787647467	VNTV62	19.0
0.05416792055371652	0.9037014745711707	0.04213060487511285	V6DKWB	20.0
0.05179141539553033	0.9035118836466832	0.044696700957786446	VGMLUK	21.0
0.053432642487046635	0.9031735751295337	0.04339378238341969	VF1IDW	22.0
0.04765655769988184	0.9027176053564395	0.049625836943678614	VXJ3KK	23.0
0.05327181208053691	0.9026845637583892	0.044043624161073824	V8D7YS	24.0
0.060792349726775954	0.9023224043715847	0.036885245901639344	VPIK16	25.0
0.05218446601941747	0.9021035598705501	0.04571197411003236	V40FOF	26.0
0.04356120826709062	0.9020667726550079	0.05437201907790143	VTUQVL	27.0
0.04685610640870617	0.9020556227327691	0.05108827085852479	VDSI6K	28.0
0.04723225030084236	0.9019253910950662	0.050842358604091455	VHJS50	29.0
0.05833905284831846	0.9015099519560741	0.040150995195607414	VOLROE	30.0
0.05644481887110362	0.9011513619769728	0.042403819151923615	V51DMC	31.0
0.05652435357787132	0.9010823812387252	0.042393265183403486	VQK2TS	32.0
0.04295051353874883	0.9010270774976658	0.056022408963585436	VOSNBO	33.0
0.06527777777777778	0.9009259259259259	0.033796296296296297	V4X3XF	34.0
0.060524182653336936	0.9002972169683869	0.03917860037827614	VZ5RV3	35.0
0.05476730987514188	0.9001135073779796	0.045119182746878546	V228GG	36.0
0.060100814269096546	0.8999612252811167	0.03993796044978674	VP8AMJ	37.0
0.05357989568515884	0.8999525841631105	0.046467520151730675	VYZFIT	38.0
0.0442008486562942	0.8999292786421499	0.05586987270155587	VXRM5W	39.0
0.04721362229102167	0.8998968008255934	0.052889576883384935	VP6Y2S	40.0
0.048839625909248355	0.8998960859023207	0.051264288188430894	VL8KLM	41.0
0.049880525686977296	0.899641577060932	0.0504778972520908	V010T4	42.0
0.04205214465937763	0.8994953742640874	0.058452481076534904	VNDJYN	43.0
0.054608585858585856	0.8993055555555556	0.046085858585858584	VE4CJK	44.0
0.04835693294149078	0.8992786534865082	0.05236441357200107	VDYFS8	45.0
0.04424223407593348	0.8992783181675557	0.05647944775651083	VM9INH	46.0
0.05438529299119112	0.899272309459977	0.04634239754883186	V38PS1	47.0
0.04289118347895155	0.8991262907069102	0.05798252581413821	VR1CXM	48.0
0.04589371980676329	0.898852657004831	0.0552536231884058	VJAZQJ	49.0
0.050505050505050504	0.8987012987012987	0.050793650793650794	VJL8PR	50.0
0.06315789473684211	0.8983552631578947	0.03848684210526316	VYOWVQ	51.0
0.05106382978723404	0.89822695035461	0.050709219858156025	VOK6OK	52.0
0.05842588121680348	0.8981168517624336	0.04345726702076291	VYSCTF	53.0
0.04884402474763921	0.8980788016932595	0.05307717355910127	VCYQP6	54.0
0.057982740021574976	0.8980582524271845	0.04395900755124056	V56X8J	55.0
0.04945429740791269	0.8980218281036835	0.05252387448840382	V23DES	56.0
0.05054759898904802	0.8977815220443696	0.05167087896658242	VXLKFV	57.0
0.05007187350263536	0.8977000479156684	0.052228078581696216	VA1O8B	58.0
0.05217680292455965	0.8976404120970423	0.05018278497839814	V8WCPE	59.0
0.05828571428571429	0.8974285714285715	0.04428571428571428	VTFDDH	60.0
0.05143805309734513	0.8974004424778761	0.051161504424778764	VNUP14	61.0
0.06107156238291495	0.8973398276508056	0.041588609966279506	VUO5I7	62.0
0.05740343347639485	0.8972639484978541	0.04533261802575107	V4NQIN	63.0
0.05122422680412371	0.897229381443299	0.05154639175257732	VUSLFL	64.0
0.04878048780487805	0.8971232020012507	0.05409631019387117	VYJY1Q	65.0
0.05823529411764706	0.8970588235294118	0.04470588235294118	VWBH1L	66.0
0.05454545454545454	0.896969696969697	0.048484848484848485	V0WV71	67.0
0.05283466904125853	0.8967052537845058	0.05046007717423568	V32MIP	68.0
0.04350314825414997	0.8966800228963938	0.05981682884945621	V1TT57	69.0
0.05218247456514605	0.8966196258615031	0.05119789957335084	VI72RB	70.0
0.05697008274984087	0.8965626989178866	0.046467218332272436	VOL824	71.0
0.056890012642225034	0.8963337547408344	0.04677623261694058	V9LGD5	72.0
0.05354706684856753	0.8963165075034106	0.05013642564802183	V9Y37D	73.0
0.045584045584045586	0.8962962962962963	0.05811965811965812	VTETOY	74.0
0.04215068038499834	0.8961168270826418	0.061732492532359774	VTD3D4	75.0
0.06450626719657597	0.8960562519107307	0.03943748089269337	VCPI8B	76.0
0.05666342412451362	0.895671206225681	0.047665369649805445	VCOA77	77.0
0.06020157995096704	0.8953963497684555	0.0444020702805775	VQFR36	78.0
0.034409900392393604	0.8952610926652581	0.07032900694234832	VIE3LT	79.0
0.061112898037954326	0.8951431328401416	0.04374396912190415	V0XUBQ	80.0
0.06448345712356515	0.8950033760972316	0.04051316677920324	VQQ90U	81.0
0.04844173441734417	0.8949864498644986	0.056571815718157184	V2KKNM	82.0
0.06698756518251103	0.8949057360609707	0.03810669875651825	VC70I8	83.0
0.053431798436142486	0.894874022589053	0.051694178974804515	VM6LXC	84.0
0.048699501936912006	0.8948533480907581	0.05644714997232983	VAQXCB	85.0
0.051353874883286646	0.8948023653906007	0.05384375972611267	VFRA8A	86.0
0.05776598880047156	0.8947833775419982	0.04745063365753021	VRTOVG	87.0
0.05570433851098018	0.8947509373326191	0.04954472415640064	VFJPCF	88.0
0.06872427983539095	0.8946502057613168	0.03662551440329218	VS5F60	89.0
0.0630779392338177	0.8946499339498019	0.04227212681638045	V35YLP	90.0
0.05620915032679739	0.8943790849673202	0.04941176470588235	VPZGBE	91.0
0.061042326518859776	0.8943276706017852	0.04463000287935502	VYRK9P	92.0
0.052844160215415686	0.8943116795691687	0.052844160215415686	VVMH8R	93.0
0.051299826689774695	0.8942807625649913	0.054419410745233966	VUGP8W	94.0
0.04134672179562906	0.8942705256940343	0.06438275251033668	VLRI2K	95.0
0.05992141453831041	0.8942370661427635	0.045841519318926	V6HUPY	96.0
0.045424403183023876	0.8942307692307693	0.0603448275862069	VN3X88	97.0
0.04627696590118302	0.8942240779401531	0.059498956158663886	VMZQ3D	98.0
0.053229665071770335	0.8941387559808612	0.05263157894736842	VEPCIN	99.0
0.05960665658093797	0.8940998487140696	0.04629349470499244	VX5N7I	100.0
0.058080048149262715	0.8940716220282877	0.047848329822449596	VNIDA4	101.0
0.053165250753631134	0.8939435461770348	0.052891203069334064	VVEIXI	102.0
0.05131218174696436	0.8938503721112416	0.05483744614179397	V704VW	103.0
0.05136986301369863	0.8938356164383562	0.0547945205479452	VSULLW	104.0
0.06296166021807949	0.8937741822018994	0.043264157580021105	VOQGH9	105.0
0.052539912917271406	0.8937590711175617	0.05370101596516691	V42X50	106.0
0.051539708265802266	0.893679092382496	0.05478119935170178	VWJHOD	107.0
0.06416881998277348	0.8936261843238588	0.04220499569336779	VEU3OA	108.0
0.0583756345177665	0.8934010152284264	0.048223350253807105	VVK3XC	109.0
0.059098639455782316	0.89328231292517	0.047619047619047616	V44S08	110.0
0.06893491124260355	0.8931952662721894	0.0378698224852071	VSKHLT	111.0
0.057405903059842944	0.893040888166802	0.04955320877335499	VB6V0F	112.0
0.05003498950314905	0.8929321203638908	0.05703289013296011	V62ZVR	113.0
0.052361396303901436	0.8928815879534565	0.05475701574264202	V7Z87V	114.0
0.05475728155339806	0.8928155339805826	0.05242718446601942	V4RE1W	115.0
0.049983558040118385	0.8927984215718514	0.057218020388030255	VC0JXP	116.0
0.05350649350649351	0.8927272727272727	0.05376623376623377	VHUIRX	117.0
0.049545587804163	0.8927000879507476	0.05775432424508942	VWU26B	118.0
0.06755260243632337	0.8925802879291251	0.03986710963455149	V4CLBM	119.0
0.045442395081529	0.892542101042502	0.06201550387596899	V4LXO6	120.0
0.05080440304826418	0.8924640135478408	0.056731583403895	VDQ78F	121.0
0.057175205208038496	0.8924426832720068	0.05038211151995471	VE83OQ	122.0
0.05682154483575022	0.8922758212488902	0.050902633915359576	V23IHW	123.0
0.050686878256750355	0.8922311700615821	0.05708195168166746	VZDRC2	124.0
0.06320541760722348	0.8922121896162528	0.044582392776523705	VP2L0L	125.0
0.04946682464454976	0.8921800947867299	0.05835308056872038	VLPANX	126.0
0.03641758834637173	0.892096034529269	0.07148637712435932	V9EN4M	127.0
0.052340582381127904	0.8920014743826022	0.05565794323626981	VI7N13	128.0
0.06090979182729375	0.8918015934207145	0.047288614751991774	VAHF8S	129.0
0.06705882352941177	0.8917647058823529	0.041176470588235294	V57SFJ	130.0
0.06790123456790123	0.891358024691358	0.040740740740740744	VSH1WE	131.0
0.05241338466094166	0.8913236600533018	0.05626295528575659	VOLN58	132.0
0.06526583890480739	0.8911174785100286	0.04361668258516396	VL9SET	133.0
0.0626753975678204	0.8910196445275959	0.04630495790458372	V5NIUH	134.0
0.06318840579710144	0.8910144927536232	0.04579710144927536	VBJA3P	135.0
0.055462586660291656	0.8909873296677026	0.053550083672005734	VSXZII	136.0
0.05225576111652061	0.8909444985394352	0.05679974034404414	V43NBV	137.0
0.06348039215686274	0.8909313725490197	0.045588235294117645	V6SZC7	138.0
0.05660377358490566	0.8909090909090909	0.05248713550600343	VCTAHJ	139.0
0.05346820809248555	0.8908959537572254	0.05563583815028902	VM0N9D	140.0
0.06008444300097434	0.8908736602793115	0.04904189671971419	VM6FOP	141.0
0.06344510190664036	0.89086127547666	0.04569362261669954	VQO0S6	142.0
0.06432545201668985	0.8904728789986092	0.045201668984700974	VKEUWG	143.0
0.05903834449178332	0.8904443091905052	0.0505173463177115	VIJS2P	144.0
0.06568364611260054	0.8904155495978552	0.04390080428954424	VL3CQI	145.0
0.04534676941315945	0.890337877889745	0.06431535269709543	VFHHQN	146.0
0.06225930680359435	0.8902439024390244	0.04749679075738126	VWO9OM	147.0
0.04958066107548101	0.8902318697582634	0.06018746916625555	V26SW4	148.0
0.058279370952821465	0.8902251002158496	0.05149552883132902	VTWUM8	149.0
0.055381727158948686	0.8901752190237797	0.05444305381727159	V4HQPV	150.0
0.06493839835728953	0.8901437371663244	0.04491786447638604	VBBUAG	151.0
0.04752325873774202	0.8901181795323108	0.0623585617299472	VPEB3X	152.0
0.06017269293038316	0.8899082568807339	0.049919050188882895	V3NRFY	153.0
0.06649556696220252	0.8898740083994401	0.043630424638357444	V8IY68	154.0
0.0514030295505339	0.8897442264713186	0.058852743978147506	VUJA03	155.0
0.05386904761904762	0.8895833333333333	0.05654761904761905	V4UO31	156.0
0.06852857512283424	0.8895784846133954	0.04189294026377036	VO0KDF	157.0
0.05567386674779434	0.8895649528445391	0.05476118040766657	VKVAYI	158.0
0.06581298391899941	0.8895175699821323	0.04466944609886837	V9GL9Z	159.0
0.06031843233312921	0.88946723821188	0.05021432945499082	VU37VZ	160.0
0.05499664654594232	0.8893360160965795	0.055667337357478204	VJ8DAT	161.0
0.05900501349787891	0.889317392981103	0.051677593521018125	V6VKWU	162.0
0.07045009784735812	0.8892367906066536	0.04031311154598826	VBP6H9	163.0
0.05869485964272694	0.8891724389354722	0.052132701421800945	VN8TW5	164.0
0.05545229244114003	0.88909541511772	0.05545229244114003	VORW0X	165.0
0.06947953511874684	0.8890853966649823	0.04143506821627085	VY36ZZ	166.0
0.05047399436331027	0.8890596976684602	0.06046630796822957	VRRIOL	167.0
0.06349892008639309	0.8889848812095033	0.047516198704103674	V412BS	168.0
0.07335032568677428	0.8889832908524498	0.037666383460775985	V0W7HW	169.0
0.05962059620596206	0.8888888888888888	0.051490514905149054	VV8Z54	170.0
0.049533799533799536	0.8886946386946387	0.06177156177156177	V3OM5L	171.0
0.047104710471047105	0.8886888688868887	0.06420642064206421	VIVMS4	172.0
0.05512679162072767	0.8886438809261301	0.05622932745314223	V1WZON	173.0
0.05210745715609078	0.8886058360352015	0.059286706808707734	VX2W7U	174.0
0.05157297576070139	0.888602372356885	0.059824651882413614	V1PK1B	175.0
0.06591173054587689	0.8885017421602788	0.04558652729384437	V4T8FP	176.0
0.05591013530763339	0.8884350268062292	0.05565483788613735	VSIMJ7	177.0
0.06324582338902147	0.8882259347653142	0.04852824184566428	VA2M1E	178.0
0.05481120584652863	0.8881851400730816	0.057003654080389765	VFRTH4	179.0
0.06821908822564775	0.8881600524762218	0.04362085929813053	VR5Y26	180.0
0.06863572433192687	0.8880450070323488	0.043319268635724335	VFN61K	181.0
0.05735745988391942	0.8880163878456812	0.05462615227039946	VHR2QB	182.0
0.05417276720351391	0.8879941434846267	0.057833089311859445	VHVY0M	183.0
0.05225225225225225	0.887987987987988	0.05975975975975976	VJLSQM	184.0
0.057304785894206546	0.8879093198992444	0.05478589420654912	VT40XO	185.0
0.058088483620398514	0.8878757176629517	0.05403579871664978	VOP1SN	186.0
0.061330561330561334	0.8877338877338877	0.05093555093555094	VVAE9L	187.0
0.05688622754491018	0.8875582168995343	0.05555555555555555	VB0MJV	188.0
0.0673992673992674	0.8875457875457875	0.045054945054945054	VD6YPU	189.0
0.06590337894442894	0.8874616029042167	0.04663501815135437	VFA7TX	190.0
0.05613836121349589	0.8874397504961724	0.05642188829033173	VCMFXW	191.0
0.06605850896508336	0.8873859704309531	0.04655552060396351	VAULOV	192.0
0.05727204220045215	0.8873398643556896	0.055388093443858324	VBZB4B	193.0
0.055751864939144094	0.8873184138201806	0.0569297212406753	VZOC83	194.0
0.06993183539510224	0.8871497096692754	0.04291845493562232	VTFFPJ	195.0
0.06083858591394903	0.8870923540696081	0.05206906001644286	VFNMNC	196.0
0.06813104988830976	0.8868205510052122	0.04504839910647804	VJJOTE	197.0
0.05706438815990235	0.8867866951480012	0.05614891669209643	VS618I	198.0
0.05809802012333658	0.8867250892567349	0.055176890619928594	VBT3M8	199.0
0.06593406593406594	0.8866758241758241	0.04739010989010989	VQ6PWW	200.0
0.0497131931166348	0.8866429937175635	0.0636438131658017	VJCXCZ	201.0
0.06918068366793272	0.8865979381443299	0.04422137818773739	V04YHL	202.0
0.056081081081081084	0.8864864864864865	0.057432432432432436	V6V27N	203.0
0.07261768082663606	0.886337543053961	0.041044776119402986	VREV0N	204.0
0.058707449432659105	0.886285150468673	0.05500740009866798	VHRRQX	205.0
0.05433491686460808	0.8862826603325415	0.05938242280285035	VTCFL1	206.0
0.06165137614678899	0.8862385321100917	0.052110091743119265	VGHLVX	207.0
0.05779334500875657	0.8861646234676007	0.05604203152364273	VYS7CL	208.0
0.07177898270074877	0.8861347792408986	0.042086238058352696	V0YSOI	209.0
0.0459499263622975	0.8860088365243004	0.06804123711340206	VOMVLT	210.0
0.06649534211371667	0.8859620944426598	0.047542563443623516	VI9R2T	211.0
0.07128309572301425	0.8859470468431772	0.04276985743380855	VF2UIE	212.0
0.05532139093782929	0.8859325605900948	0.05874604847207587	V0LIS3	213.0
0.05212702216896345	0.8858597962852007	0.06201318154583583	VMU8O5	214.0
0.0657855211775308	0.885851607089216	0.04836287173325323	VNS89H	215.0
0.0784438775510204	0.8858418367346939	0.03571428571428571	VM11NF	216.0
0.0666235446313066	0.8858344113842174	0.04754204398447607	VMBNA8	217.0
0.06123096446700508	0.8857868020304569	0.05298223350253807	VODRSB	218.0
0.053368044256426946	0.8857793686950862	0.06085258704848682	VAPK0E	219.0
0.05470521541950114	0.8857709750566893	0.05952380952380952	V3M9D5	220.0
0.06751282743721307	0.8857682959762355	0.046718876586551446	VPOVJ1	221.0
0.056731583403895	0.8856900931414056	0.057578323454699404	VBOMPV	222.0
0.06158005407029138	0.885551216581556	0.0528687293481526	V8EITX	223.0
0.057989049278247884	0.885515181682429	0.056495769039323046	VA0W2A	224.0
0.05503222607833416	0.8854734754586019	0.059494298463063956	V7VDAG	225.0
0.06304034582132564	0.8854466858789626	0.05151296829971182	VUD8XW	226.0
0.0619205298013245	0.885430463576159	0.05264900662251656	V8Q521	227.0
0.05829118977907905	0.8852808091562416	0.05642800106467927	VJQRBF	228.0
0.06148409893992933	0.8852767962308599	0.053239104829210834	VE8VBP	229.0
0.06227390180878553	0.8852713178294573	0.0524547803617571	VJ6935	230.0
0.0674246430460074	0.8852459016393442	0.047329455314648335	V2906Q	231.0
0.06937939110070257	0.8852459016393442	0.04537470725995316	V840ET	232.0
0.054786783394521324	0.8850607173114939	0.06015249929398475	VFEW39	233.0
0.06029619181946404	0.885049365303244	0.05465444287729196	V83E8E	234.0
0.052886734244160426	0.8849713530189511	0.062141912736888495	V9Z3VE	235.0
0.06639105058365759	0.8849708171206225	0.048638132295719845	VOHZH4	236.0
0.06497341996455995	0.8848198464264619	0.05020673360897814	VRUZFG	237.0
0.07147024504084014	0.8847724620770129	0.043757292882147025	V03ZU2	238.0
0.071007371007371	0.8847665847665848	0.044226044226044224	V10WZV	239.0
0.08111050626020685	0.884594447468699	0.03429504627109418	VP5ZAB	240.0
0.05921052631578947	0.8845693779904307	0.056220095693779906	V0SVA4	241.0
0.06341873162536749	0.884502309953801	0.052078958420831586	VQXAO9	242.0
0.06493506493506493	0.8843537414965986	0.05071119356833643	V41WWG	243.0
